Blog	four	looking	second	here	kids	k	music	until	example	want	turn	wrong	fix	re	wasn	service	project	person	tech	came	saying	best	country	asked	much	life	things	had	easy	possible	right	old	people	support	happy	later	team	along	love	working	following	such	data	years	course	didn	internet	million	open	city	future	saw	note	take	going	where	sites	jobs	many	wants	photos	former	technology	being	around	traffic	world	power	favorite	her	series	complete	ad	am	tv	th	large	small	past	hours	experience	social	via	company	science	learn	information	its	always	found	really	try	number	self	also	play	sometimes	set	see	last	whole	community	rules	recent	amp	couple	d	continue	anything	into	link	line	up	us	ago	having	results	video	great	makes	tools	next	process	high	move	doing	could	start	system	haven	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	government	five	does	software	details	chance	above	search	word	work	interview	after	order	office	then	them	they	network	created	another	do	away	hand	photo	thanks	night	security	post	months	available	way	true	together	change	history	extra	live	car	write	product	use	still	half	now	january	year	space	shows	care	ways	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	your	aren	lot	trying	building	since	month	very	learned	family	put	site	help	soon	actually	event	reason	ask	american	mobile	latest	pretty	during	x	close	won	probably	else	look	while	user	march	game	some	run	step	doesn	e	go	facebook	click	started	point	links	including	him	keep	exactly	need	able	based	she	written	key	police	problem	both	well	page	twitter	home	he	star	friends	companies	likely	even	ever	never	met	call	tell	give	answer	before	personal	better	weeks	went	mean	content	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	popular	down	digital	finally	did	making	crazy	may	man	maybe	talk	nbsp	group	interesting	thing	think	first	little	anyone	were	shot	show	behind	black	get	enough	reading	across	those	different	pay	same	money	either	images	youtube	again	important	u	public	published	two	share	needs	coming	through	someone	everyone	house	hard	idea	done	least	part	believe	built	build	most	find	please	simple	create	understand	fun	itself	yesterday	big	bit	google	often	back	others	control	ll	day	text	taking	almost	com	thought	add	works	minutes	special	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	full	news	been	several	pick	gave	everything	no	cool	posts	says	goes	weird	today	local	figure	happened	name	place	given	white	any	ideas	sure	state	review	come	case	myself	good	check	week	without	seems	blog	update	there	program	far	list	design	version	known	rather	short	might	used	friday	feel	story	kind	nothing	his	hit	art	recently	reasons	questions	question	long	called	users	once	issues	apple	heart	app	few	something	six	instead	looks	our	out	york	their	which	who	why	words	view	stories	job	will	let	gets	other	know	because	lead	getting	own	apps	made	book
Publishing 2.0	0	1	2	7	0	0	0	0	2	1	0	1	2	8	0	1	2	0	0	0	0	3	0	1	3	0	1	5	1	0	6	1	5	1	0	0	1	1	0	0	0	0	1	2	1	0	4	1	2	1	21	1	0	1	3	4	6	2	6	0	0	0	4	2	4	2	2	1	0	0	0	0	9	6	2	0	0	0	0	0	0	1	0	3	0	0	3	4	0	1	0	0	2	0	1	1	1	2	2	5	0	0	1	3	0	0	1	2	0	1	14	0	2	6	1	0	1	0	5	0	1	2	0	2	0	2	5	2	0	2	0	1	4	1	0	1	0	6	0	1	1	22	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	1	12	2	1	0	2	5	0	1	0	0	0	9	1	0	4	1	1	2	1	2	0	0	0	1	2	1	0	7	0	1	2	1	2	0	3	9	0	1	0	5	2	5	14	2	0	1	0	2	7	5	0	3	2	0	2	0	2	0	0	3	11	2	0	1	0	1	2	0	0	0	0	0	0	0	2	0	1	0	2	2	0	2	5	0	1	2	1	1	4	0	2	0	9	0	0	2	1	2	0	1	0	0	0	0	1	2	2	13	7	0	8	0	0	8	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	15	2	2	1	0	6	5	1	0	0	1	0	2	3	0	1	10	4	2	2	0	1	0	0	0	2	2	1	0	3	0	3	0	0	1	0	0	2	1	2	9	0	3	0	0	1	1	0	6	3	8	1	2	0	1	0	3	0	0	3	0	7	1	0	3	4	1	3	0	5	1	1	1	1	1	0	1	0	1	0	0	13	1	0	2	1	1	0	0	1	4	1	9	2	2	1	2	2	0	3	0	1	10	0	0	1	0	0	0	2	0	1	2	0	0	1	4	2	4	1	1	3	2	0	3	1	1	2	0	1	0	3	5	57	5	1	0	0	2	5	1	0	0	1	0	5	3	0	1	1	0	0	0	3	0	1	2	0	2	2	0	1	0	5	1	1	6	1	11	2	0	0	0	0	0	2	0	1	2	0	0	4	5	1	4	0	0	1	3	1	4	1	4	1	0	0	0	2	0	4	0	0	1	1	7	8	5	6	12	2	9	0	0	10	0	14	1	2	7	2	5	2	0	2	0	0	2
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	1	1	0	0	2	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	5	0	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
Eschaton	1	1	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	3	0	4	1	0	1	1	1	4	2	0	0	0	0	0	0	1	4	0	3	1	1	1	1	0	5	0	1	0	0	2	0	0	1	1	0	0	0	0	2	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	1	0	2	0	0	0	2	3	0	0	0	0	0	4	2	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	2	4	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	3	0	3	6	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	1	0	1	0	0	1	0	1	0	0	3	0	2	0	2	4	0	0	0	0	0	1	1	0	0	0	1	0	1	2	0	1	0	0	3	0	0	0	0	1	0	2	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	0	0	1	3	6	0	1	1	1	1	0	0	0	1	5	2	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	4	0	2	1	0	2	3	0	0	0	3	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	2	0	1	1	0	2	0	0	3	2	0	3	0	0	1	0	0	0	0	0	3	0	2	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	3	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	3	4	1	0	3	0	0	0	0	2	2	0	0	1	0	2	1	0	0	0	0	1
PerezHilton	0	0	2	5	0	1	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	1	0	2	0	0	2	0	2	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	3	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	0	0	0	0	2	0	2	0	0	0	1	0	1	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	8	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	2	1	0	2	4	1	0	1	3	0	0	1	0	0	2	0	1	1	1	2	0	2	0	0	1	0
Slashdot	1	0	4	1	0	1	0	0	0	1	2	0	0	3	0	0	2	0	4	1	0	0	0	0	3	3	0	1	0	0	3	0	2	4	0	2	2	0	0	2	0	1	1	2	2	0	2	1	4	1	3	0	0	2	2	1	0	0	2	1	0	2	2	3	0	0	2	1	0	0	0	2	0	1	0	1	0	1	1	0	0	1	0	2	0	0	3	6	0	4	0	0	3	0	4	1	0	1	0	3	0	3	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	2	0	1	1	1	0	0	0	5	1	5	0	1	0	1	0	2	0	0	0	0	1	0	0	5	0	1	1	1	1	0	0	0	1	0	3	1	0	3	0	6	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	2	2	0	1	5	0	0	0	3	2	7	0	7	0	0	0	0	5	5	2	3	3	2	1	2	1	3	1	15	0	2	0	1	0	0	4	0	2	1	3	0	0	0	0	2	0	2	0	0	0	0	2	0	0	1	0	0	0	1	0	0	2	1	3	1	8	0	0	0	1	2	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	2	0	0	1	3	1	1	0	3	1	0	2	1	1	2	5	1	0	0	2	0	0	1	1	0	2	0	1	0	3	0	0	0	0	1	0	0	0	7	2	0	5	0	1	1	1	2	1	0	2	6	1	0	1	0	0	3	0	0	2	3	1	1	6	1	0	0	2	0	0	0	1	1	2	2	5	0	0	1	5	0	1	1	1	0	0	3	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	8	1	2	0	1	3	1	0	3	0	2	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	2	2	1	1	1	1	1	0	1	0	0	2	0	0	0	0	0	0	2	1	2	0	2	6	1	4	0	0	0	2	1	1	0	2	0	1	15	0	0	1	0	0	0	0	0	1	1	2	3	1	1	0	0	0	3	0	0	1	0	1	7	1	4	5	3	2	1	0	0	0	4	0	0	4	0	3	0	0	1	0	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	5	0	0	0	1	0	0	1	0	0	1	2	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	12	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	2	1	1	0	2	0	0	0	0	2	0	0	1	0	0	1	0	2	1	2	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	4	1	0	0	2	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
Gothamist	0	0	1	4	0	0	0	2	0	2	1	0	0	3	1	2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	1	4	0	0	0	1	1	0	0	0	1	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	3	0	0	1	0	8	1	0	0	0	0	0	2	0	1	0	0	0	6	6	0	0	0	1	1	0	0	1	0	1	1	0	4	0	0	0	0	0	2	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	2	0	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	3	0	5	0	3	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	0	1	0	0	4	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	3	2	0	0	0	2	0	3	1	0	0	1	0	3	0	0	4	0	1	1	1	2	2	8	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	2	0	2	1	0	0	6	4	3	0	0	0	1	1	0	0	0	0	0	1	0	0	0	3	2	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	4	2	0	0	0	0	2	2	3	1	0	0	0	1	0	0	2	1	0	0	0	1	0	1	3	0	0	0	0	0	0	0	2	0	0	4	1	0	0	0	0	0	0	0	0	2	1	0	2	0	0	1	2	1	0	1	0	0	3	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	3	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	4	6	3	5	3	8	0	0	0	2	0	4	1	0	1	5	2	0	0	0	0	0	0
we make money not art	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	2	1	0	0	1	0	0	0	0	0	3	1	0	0	0	3	0	3	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	1	2	2	2	0	0	1	2	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	1	3	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	1	0	2	16	0	2	0	5	2	8	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	4	0	0	1	2	1	2	0	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	2	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	1	7	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	2	0	1	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	1	3	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	3	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	3	1	3	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	1	0	0	1	0	0	3	2	0	3	0	6	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	5	0	2	4	4	3	0	0	0	0	0	2	0	0	3	2	0	0	0	2	0	6	6
BuzzMachine	0	0	2	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	2	0	4	0	0	3	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	2	2	0	0	0	0	0	0	1	2	1	0	0	2	1	1	3	1	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	1	0	1	0	1	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	1	0	6	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	1	0	0	0	1	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	1	1	0	0	0	0	0	0	1	0	2	1	0	3	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	0	1	0	9	0	0	0	0	0	0	1	0	0	0	21	1	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	2
Techdirt.	1	4	5	11	0	0	2	2	2	16	4	1	4	15	1	3	3	8	2	1	6	1	6	4	14	4	6	26	4	6	8	6	11	2	0	5	2	4	1	2	3	14	20	13	8	4	19	1	3	2	9	1	0	16	16	8	3	0	11	2	1	2	0	10	8	1	9	3	0	6	2	2	0	1	3	0	4	10	7	4	0	4	4	9	4	3	19	57	2	4	9	4	5	1	17	3	3	15	13	10	2	1	16	2	0	4	16	4	5	20	2	2	31	16	7	2	5	0	6	9	2	2	6	5	0	6	31	7	7	2	4	10	16	3	8	2	28	12	0	6	8	0	19	7	10	2	0	0	3	9	3	10	2	10	7	16	23	31	63	1	4	8	23	3	10	1	2	0	11	12	4	3	16	8	1	5	0	0	1	0	2	2	21	12	2	19	3	9	0	2	2	1	19	12	1	17	10	5	6	40	7	1	2	5	1	11	5	12	2	4	6	3	6	3	10	0	1	7	3	2	4	10	0	3	0	2	3	2	2	5	0	5	8	5	1	4	10	2	2	1	23	3	1	12	3	4	1	0	1	5	1	9	5	4	4	6	4	8	2	4	9	4	3	5	8	0	4	0	39	3	2	15	5	28	3	7	2	2	1	5	1	8	1	7	2	2	4	10	11	1	5	3	10	6	0	10	2	14	23	0	9	0	8	49	16	0	0	2	7	0	5	2	6	8	4	9	7	2	27	1	4	1	0	14	6	5	3	17	11	4	18	2	6	6	0	5	7	1	2	18	7	7	6	2	6	1	1	8	4	5	21	4	10	2	3	2	8	6	3	14	4	9	1	10	9	5	2	0	14	7	0	2	8	4	0	6	1	3	3	26	5	7	5	6	4	3	4	0	5	1	3	0	7	1	2	20	5	0	0	43	3	5	4	4	5	19	4	8	1	12	2	0	10	6	3	2	4	0	2	5	4	36	3	0	0	4	24	0	1	12	1	0	0	4	3	1	8	2	6	13	19	1	3	6	6	7	11	0	13	2	6	9	9	11	0	31	5	5	2	1	1	3	6	3	6	10	0	0	25	4	5	36	0	3	3	3	4	0	4	5	7	5	2	0	0	3	12	7	2	3	4	17	32	0	30	44	19	7	6	2	3	4	44	3	0	19	5	21	4	1	8	1	14	1
Little Green Footballs	1	0	0	2	0	0	2	0	1	0	0	0	0	0	0	3	2	0	0	0	1	0	1	0	0	1	0	2	0	0	3	1	4	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	2	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	3	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	4	0	0	0	2	1	0	0	0	0	0	0	1	0	2	1	1	0	0	5	0	1	1	4	0	0	2	7	4	1	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	2	2	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	1	0	0	1	2	3	0	4	1	0	2	0	0	2	1	0	6	0	1	1	1	2	2	1	0	2	0	0	0	0	1	0	1	0	2	0	0	3	3	0	2	1	1	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	2	0	4	1	0	2	0	1	0	0	0	3	2	1	0	0	1	0	0	0	0	1	1	0	0	2	0	0	6	0	0	0	0	6	0	10	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	1	1	1	0	2	1	1	1	0	0	0	0	0	0	0	2	1	0	1	1	0	1	0	2	0	0	1	5	0	0	0	4	1	0	1	0	0	0	1	1	0	0	0	0	0	0	8	0	1	0	2	0	0	0	0	1	2	0	0	1	1	0	0	0	2	0	0	0	6	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	2	0	0	1	8	2	0	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	5	2	2	2	2	1	0	2	0	1	0	0	3	2	0	4	0	0	0	0	0	0	1	2	0	0	2	1	1	1	0	2	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	2	2	2	0	3	0	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	2	9	0	0	1	1	1	5	0	1	3	2	4	0	0	0	0	1	0
Gawker	0	0	1	2	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	2	4	0	2	0	0	2	0	1	0	0	0	5	1	1	1	0	0	5	0	0	0	0	0	1	0	1	0	0	1	1	0	2	3	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	2	0	1	0	1	0	5	0	0	1	0	3	0	0	1	2	0	1	1	1	1	0	2	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	3	0	3	0	3	0	0	2	1	0	1	0	1	1	2	0	0	0	25	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	4	0	1	1	0	0	2	7	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	3	0	0	3	1	0	0	0	0	5	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	3	0	1	0	0	1	1	0	0	0	0	2	1	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	7	0	0	0	2	0	1	3	1	1	0	3	1	0	0	1	2	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	4	0	2	0	0	2	1	0	3	0	0	0	0	2	0	3	0	1	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	4	2	0	0	1	0	1	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	2	0	1	0	0	7	7	3	1	7	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0
